pert_in,k_pred,psts_explained,expl_known_psts
Go6976,AKT1,12,0.118
Go6976,MKNK1,1,0.010
Go6976,SIK3,1,0.010
Go6976,PHKG1,1,0.010
Go6976,CSNK1A1,3,0.029
HS173,CAMK2A,3,0.030
HS173,AURKA,2,0.020
HS173,CDC7,1,0.010
HS173,MAP3K8,2,0.020
HS173,CSNK1G2,1,0.010
HS173,TAF1,1,0.010
HS173,VRK3,1,0.010
HS173,MAPK9,3,0.030
HS173,BCR,1,0.010
HS173,PHKG2,1,0.010
HS173,RET,2,0.020
HS173,CAMK2B,2,0.020
HS173,BRSK1,1,0.010
HS173,PHKG1,1,0.010
HS173,MAPK12,2,0.020
HS173,PRKDC,2,0.020
HS173,AURKB,9,0.091
HS173,CHUK,1,0.010
HS173,JAK2,2,0.020
HS173,MAP2K2,4,0.040
HS173,MTOR,23,0.232
HS173,CSNK2A1,14,0.141
HS173,PRKACA,18,0.182
HS173,PRKCE,5,0.051
HS173,TGFBR1,1,0.010
HS173,RPS6KA1,7,0.071
HS173,RPS6KA2,5,0.051
HS173,IKBKB,1,0.010
HS173,LCK,2,0.020
HS173,TTBK2,1,0.010
HS173,VRK1,1,0.010
HS173,CSNK2B,2,0.020
HS173,CDK5,7,0.071
HS173,MAP2K1,5,0.051
HS173,VRK2,1,0.010
HS173,TTBK1,1,0.010
Ipatasertib,CAMK2A,1,0.015
Ipatasertib,ILK,1,0.015
Ipatasertib,PDK2,1,0.015
Ipatasertib,CSNK1A1,3,0.046
Ipatasertib,SRC,3,0.046
Ipatasertib,LRRK2,2,0.031
Ipatasertib,TNK2,1,0.015
Ipatasertib,CAMK2B,1,0.015
Ipatasertib,BRSK1,1,0.015
Ipatasertib,AKT3,4,0.062
Ipatasertib,MAP2K7,1,0.015
Ipatasertib,PTK2,1,0.015
Ipatasertib,FER,1,0.015
Ipatasertib,PRKDC,3,0.046
Ipatasertib,CLK4,1,0.015
Ipatasertib,CHUK,2,0.031
Ipatasertib,TBK1,3,0.046
Ipatasertib,PRKCB,7,0.108
Ipatasertib,CSNK2A1,22,0.338
Ipatasertib,IKBKE,3,0.046
Ipatasertib,TGFBR1,1,0.015
Ipatasertib,SYK,2,0.031
Ipatasertib,PRKD2,1,0.015
Ipatasertib,GRK5,1,0.015
Ipatasertib,CSK,1,0.015
Ipatasertib,IKBKB,2,0.031
Ipatasertib,PDPK1,2,0.031
Ipatasertib,CDK5,10,0.154
Ipatasertib,MAP2K1,3,0.046
Ipatasertib,LYN,2,0.031
JNJ,DAPK3,1,0.028
JNJ,PRKG1,2,0.056
JNJ,GSK3B,5,0.139
JNJ,RPS6KA4,1,0.028
JNJ,SGK1,3,0.083
JNJ,MAPK12,1,0.028
JNJ,AURKB,10,0.278
JNJ,TTK,2,0.056
JNJ,CHEK2,1,0.028
JNJ,RPS6KA5,3,0.083
JNJ,RPS6KA2,1,0.028
JNJ,CSK,1,0.028
JNJ,PDPK1,4,0.111
JNJ,CAMK4,1,0.028
JNJ,STK11,1,0.028
JNJ,CDK5,7,0.194
JNK,PRKCA,9,0.167
JNK,PRKX,7,0.130
JNK,CSNK2A2,18,0.333
JNK,PRKCG,2,0.037
JNK,SGK1,5,0.093
JNK,SGK3,4,0.074
JNK,CSNK2A1,29,0.537
JNK,PHKG2,1,0.019
JNK,TNK2,1,0.019
JNK,SGK2,4,0.074
JNK,TGFBR1,1,0.019
JNK,PRKY,7,0.130
JNK,MAPKAPK3,1,0.019
JNK,PHKG1,1,0.019
KD025,PRKX,9,0.058
KD025,CDK2,35,0.224
KD025,SGK2,2,0.013
KD025,BRSK1,1,0.006
KD025,MAP3K7,1,0.006
KD025,PLK1,3,0.019
KD025,PRKY,9,0.058
KD025,AURKB,16,0.103
KD025,CDK1,35,0.224
KD025,MTOR,15,0.096
KD025,CSNK2A2,10,0.064
KD025,PRKCG,8,0.051
KD025,CSNK2A1,22,0.141
KD025,PRKACA,26,0.167
KD025,PRKD2,1,0.006
KD025,NUAK1,3,0.019
KD025,EIF2AK2,1,0.006
KD025,CSNK2B,2,0.013
KD025,CDK5,12,0.077
Ku0063794,HIPK1,1,0.029
Ku0063794,MAP3K12,2,0.059
Ku0063794,PRKCB,4,0.118
Ku0063794,EGFR,1,0.029
Ku0063794,PAK2,4,0.118
Ku0063794,MTOR,15,0.441
Ku0063794,MYLK,2,0.059
Ku0063794,CSNK1E,1,0.029
Ku0063794,CSK,1,0.029
Ku0063794,CAMK2B,1,0.029
LY2090314,ULK1,1,0.011
LY2090314,MYLK,3,0.032
LY2090314,CHEK1,9,0.097
LY2090314,MAPK9,9,0.097
LY2090314,LRRK2,3,0.032
LY2090314,TNK2,1,0.011
LY2090314,SIK1,2,0.022
LY2090314,PTK2,1,0.011
LY2090314,PRKDC,3,0.032
LY2090314,MAP2K2,3,0.032
LY2090314,CSNK2A2,17,0.183
LY2090314,CSNK2A1,31,0.333
LY2090314,GSK3A,5,0.054
LY2090314,HIPK2,5,0.054
LY2090314,MAP4K4,2,0.022
LY2090314,SMG1,1,0.011
LY2090314,MAP3K3,2,0.022
LY2090314,SIK2,1,0.011
LY2090314,EEF2K,2,0.022
LY2090314,ROCK1,9,0.097
LY2090314,MAPK8,11,0.118
LY2090314,MYLK3,3,0.032
LY2090314,CSNK1A1,4,0.043
LY2584702,MAP4K4,1,0.050
LY2584702,WNK2,1,0.050
LY2584702,CDC7,3,0.150
LY2584702,WNK1,1,0.050
LY2584702,SGK1,2,0.100
LY2584702,PTK2,1,0.050
LY2584702,SGK3,1,0.050
LY2584702,PRKCI,2,0.100
LY2584702,FER,1,0.050
LY2584702,PRKDC,2,0.100
LY2584702,PHKG2,1,0.050
LY2584702,LRRK2,3,0.150
LY2584702,SGK2,1,0.050
LY2584702,TNK2,1,0.050
LY2584702,MARK2,2,0.100
LY2584702,PHKG1,1,0.050
LY2835219,PRKCA,18,0.240
LY2835219,ULK1,1,0.013
LY2835219,CDK20,9,0.120
LY2835219,CAMK4,1,0.013
LY2835219,PRKACB,2,0.027
LY2835219,PRKACG,2,0.027
LY2835219,CDK6,11,0.147
LY2835219,STK17B,1,0.013
LY2835219,STK17A,1,0.013
LY2835219,DAPK3,3,0.040
LY2835219,PRKCB,11,0.147
LY2835219,CSNK2A2,12,0.160
LY2835219,PRKCG,7,0.093
LY2835219,CSNK1E,1,0.013
LY2835219,CSNK2A1,21,0.280
LY2835219,PRKCE,8,0.107
LY2835219,DAPK2,1,0.013
LY2835219,DAPK1,2,0.027
LY2835219,CDK4,16,0.213
LY2835219,EIF2AK2,1,0.013
LY2835219,PDPK1,6,0.080
LY2835219,MYLK3,3,0.040
MK2206,DYRK3,1,0.013
MK2206,CDK7,9,0.120
MK2206,CDK12,9,0.120
MK2206,PDK2,2,0.027
MK2206,MAPKAPK2,3,0.040
MK2206,CDK20,6,0.080
MK2206,CDK8,6,0.080
MK2206,BUB1,2,0.027
MK2206,CDK3,6,0.080
MK2206,CDK17,6,0.080
MK2206,CSNK1D,1,0.013
MK2206,CDK6,9,0.120
MK2206,CDK10,6,0.080
MK2206,TBK1,2,0.027
MK2206,CDK13,6,0.080
MK2206,CSNK2A2,13,0.173
MK2206,CDK9,11,0.147
MK2206,CSNK2A1,23,0.307
MK2206,PINK1,1,0.013
MK2206,CDK18,6,0.080
MK2206,MAPKAPK3,2,0.027
MK2206,CDK16,7,0.093
MK2206,MAP3K3,2,0.027
MK2206,PRKAA2,3,0.040
MK2206,CDK19,7,0.093
MK2206,CDK5,14,0.187
MK2206,MAP2K1,12,0.160
PF3758309,CAMK2A,5,0.049
PF3758309,RPS6KA6,3,0.029
PF3758309,EGFR,1,0.010
PF3758309,IRAK4,1,0.010
PF3758309,PRKG1,2,0.019
PF3758309,PRKX,7,0.068
PF3758309,CDK12,8,0.078
PF3758309,CDK7,6,0.058
PF3758309,PDK2,5,0.049
PF3758309,PDK3,5,0.049
PF3758309,WNK1,1,0.010
PF3758309,MAPKAPK2,4,0.039
PF3758309,CDK20,5,0.049
PF3758309,RPS6KB2,1,0.010
PF3758309,RET,2,0.019
PF3758309,CDK8,5,0.049
PF3758309,PRKAA1,6,0.058
PF3758309,AKT3,11,0.107
PF3758309,RPS6KA4,6,0.058
PF3758309,CDK3,5,0.049
PF3758309,PRKG2,1,0.010
PF3758309,PDK1,15,0.146
PF3758309,CDK17,5,0.049
PF3758309,PRKY,7,0.068
PF3758309,CDK6,9,0.087
PF3758309,CDK10,5,0.049
PF3758309,PLK3,2,0.019
PF3758309,HIPK1,1,0.010
PF3758309,JAK2,2,0.019
PF3758309,WNK2,1,0.010
PF3758309,MAP2K2,4,0.039
PF3758309,CDK13,5,0.049
PF3758309,GSK3B,8,0.078
PF3758309,PDK4,5,0.049
PF3758309,SGK1,1,0.010
PF3758309,CDK9,8,0.078
PF3758309,RPS6KA5,6,0.058
PF3758309,PRKACA,21,0.204
PF3758309,AKT1,16,0.155
PF3758309,CDK18,5,0.049
PF3758309,MAPKAPK3,1,0.010
PF3758309,CDK16,6,0.058
PF3758309,HIPK2,7,0.068
PF3758309,PRKD2,1,0.010
PF3758309,CDK4,10,0.097
PF3758309,NUAK1,2,0.019
PF3758309,PRKAA2,6,0.058
PF3758309,RSKR,3,0.029
PF3758309,EEF2K,1,0.010
PF3758309,CDK19,5,0.049
PF3758309,RPS6KA2,6,0.058
PF3758309,RPS6KA1,10,0.097
PF3758309,PBK,1,0.010
PF3758309,CDK5,9,0.087
PF3758309,MAP2K1,5,0.049
PF3758309,AKT2,11,0.107
PF3758309,RPS6KA3,12,0.117
PH797804,MAP3K12,1,0.012
PH797804,PRKCA,10,0.118
PH797804,WNK1,1,0.012
PH797804,CDK2,28,0.329
PH797804,PHKG2,1,0.012
PH797804,LRRK2,3,0.035
PH797804,PRKDC,2,0.024
PH797804,TBK1,4,0.047
PH797804,CDK1,26,0.306
PH797804,WNK2,1,0.012
PH797804,PRKCB,6,0.071
PH797804,CSNK2A2,12,0.141
PH797804,CSNK2A1,19,0.224
PH797804,IKBKE,3,0.035
PH797804,MAP4K4,1,0.012
PH797804,PRKD2,1,0.012
PH797804,EEF2K,1,0.012
PH797804,IKBKB,2,0.024
PH797804,PHKG1,1,0.012
PIK294,ILK,2,0.069
PIK294,MAP3K12,2,0.069
PIK294,CDC7,2,0.069
PIK294,MYLK,3,0.103
PIK294,MAP3K8,2,0.069
PIK294,MAPK9,4,0.138
PIK294,CIT,1,0.034
PIK294,MAP2K7,1,0.034
PIK294,MAPK10,4,0.138
PIK294,CLK4,1,0.034
PIK294,PLK3,1,0.034
PIK294,DAPK3,3,0.103
PIK294,IKBKE,1,0.034
PIK294,PRKCI,2,0.069
PIK294,PRKACA,12,0.414
PIK294,MAPKAPK3,1,0.034
PIK294,ROCK1,5,0.172
PIK294,IKBKB,1,0.034
PIK294,MYLK3,2,0.069
Ribociclib,PRKCA,11,0.155
Ribociclib,STK38,1,0.014
Ribociclib,MYLK,2,0.028
Ribociclib,PRKX,5,0.070
Ribociclib,PDK2,5,0.070
Ribociclib,PDK3,5,0.070
Ribociclib,CDK20,3,0.042
Ribociclib,CAMK4,1,0.014
Ribociclib,LRRK2,1,0.014
Ribociclib,TNK2,1,0.014
Ribociclib,CDK8,3,0.042
Ribociclib,RPS6KB1,5,0.070
Ribociclib,PRKACB,1,0.014
Ribociclib,MAPK12,1,0.014
Ribociclib,PRKACG,1,0.014
Ribociclib,CDK17,3,0.042
Ribociclib,PRKY,5,0.070
Ribociclib,CDK6,8,0.113
Ribociclib,STK17B,1,0.014
Ribociclib,CDK10,3,0.042
Ribociclib,DAPK3,3,0.042
Ribociclib,LATS2,1,0.014
Ribociclib,PRKCB,8,0.113
Ribociclib,CDK13,3,0.042
Ribociclib,STK17A,1,0.014
Ribociclib,PDK4,5,0.070
Ribociclib,PRKCG,5,0.070
Ribociclib,CDK9,7,0.099
Ribociclib,TTK,2,0.028
Ribociclib,PRKCE,6,0.085
Ribociclib,AKT1,9,0.127
Ribociclib,CDK18,3,0.042
Ribociclib,DAPK2,1,0.014
Ribociclib,DAPK1,2,0.028
Ribociclib,CDK16,4,0.056
Ribociclib,CDK4,11,0.155
Ribociclib,CDK19,3,0.042
Ribociclib,CSNK2B,1,0.014
Ribociclib,MAP2K1,3,0.042
Ribociclib,AKT2,6,0.085
Ribociclib,MYLK3,1,0.014
Ripasudil,CAMK2A,3,0.038
Ripasudil,PRKCA,11,0.139
Ripasudil,PDK3,4,0.051
Ripasudil,PDK2,4,0.051
Ripasudil,LRRK2,1,0.013
Ripasudil,SGK2,2,0.025
Ripasudil,CAMK2B,1,0.013
Ripasudil,BRSK1,1,0.013
Ripasudil,RPS6KB1,4,0.051
Ripasudil,AKT3,6,0.076
Ripasudil,PIM2,1,0.013
Ripasudil,RPS6KA4,3,0.038
Ripasudil,PIM3,1,0.013
Ripasudil,PLK3,2,0.025
Ripasudil,HIPK1,1,0.013
Ripasudil,PRKCB,6,0.076
Ripasudil,PIM1,1,0.013
Ripasudil,CSNK2A2,15,0.190
Ripasudil,PDK4,4,0.051
Ripasudil,PRKCG,6,0.076
Ripasudil,SGK1,2,0.025
Ripasudil,CSNK2A1,31,0.392
Ripasudil,PRKCE,7,0.089
Ripasudil,AKT1,9,0.114
Ripasudil,MAPKAPK3,1,0.013
Ripasudil,NUAK1,2,0.025
Ripasudil,SGK3,2,0.025
Ripasudil,MAPK8,6,0.076
Ripasudil,CSNK2B,1,0.013
Ripasudil,AKT2,6,0.076
Selumetinib,MAP3K12,1,0.011
Selumetinib,WNK1,1,0.011
Selumetinib,MYLK,1,0.011
Selumetinib,MAP3K8,2,0.021
Selumetinib,CSNK1G2,1,0.011
Selumetinib,VRK3,1,0.011
Selumetinib,MAPK9,4,0.043
Selumetinib,BCR,1,0.011
Selumetinib,CAMK4,2,0.021
Selumetinib,PHKG2,1,0.011
Selumetinib,RET,1,0.011
Selumetinib,SGK2,3,0.032
Selumetinib,RPS6KA4,4,0.043
Selumetinib,MAPK10,3,0.032
Selumetinib,TBK1,3,0.032
Selumetinib,MARK2,2,0.021
Selumetinib,PLK3,1,0.011
Selumetinib,JAK2,1,0.011
Selumetinib,DAPK3,1,0.011
Selumetinib,WNK2,1,0.011
Selumetinib,MAP2K2,2,0.021
Selumetinib,CSNK2A2,16,0.170
Selumetinib,SGK1,4,0.043
Selumetinib,CSNK2A1,24,0.255
Selumetinib,IKBKE,2,0.021
Selumetinib,TGFBR1,1,0.011
Selumetinib,STK26,1,0.011
Selumetinib,MAP3K3,2,0.021
Selumetinib,SGK3,3,0.032
Selumetinib,RPS6KA1,7,0.074
Selumetinib,RPS6KA2,4,0.043
Selumetinib,WEE1,31,0.330
Selumetinib,MAPK8,4,0.043
Selumetinib,VRK1,1,0.011
Selumetinib,PHKG1,1,0.011
Selumetinib,TTBK2,1,0.011
Selumetinib,MAP2K1,2,0.021
Selumetinib,VRK2,1,0.011
Selumetinib,TTBK1,1,0.011
Selumetinib,MYLK3,1,0.011
TGX221,CAMK2A,1,0.023
TGX221,DYRK3,1,0.023
TGX221,MAP4K4,1,0.023
TGX221,IRAK4,1,0.023
TGX221,PRKCB,6,0.136
TGX221,PRKG1,1,0.023
TGX221,STK38,1,0.023
TGX221,TAF1,1,0.023
TGX221,CSNK2A1,16,0.364
TGX221,PRKACA,11,0.250
TGX221,PRKCE,7,0.159
TGX221,PHKG2,1,0.023
TGX221,TGFBR1,1,0.023
TGX221,CAMK2B,1,0.023
TGX221,MAPKAPK3,1,0.023
TGX221,PHKG1,1,0.023
Tofacitinib,IRAK4,1,0.014
Tofacitinib,MTOR,11,0.157
Tofacitinib,GSK3B,9,0.129
Tofacitinib,SGK1,3,0.043
Tofacitinib,CHEK1,6,0.086
Tofacitinib,PTK2,1,0.014
Tofacitinib,IKBKB,1,0.014
Tofacitinib,IKBKE,2,0.029
Tofacitinib,PRKCI,3,0.043
Tofacitinib,PRKDC,2,0.029
Tofacitinib,CDK2,25,0.357
Tofacitinib,TNK2,1,0.014
Tofacitinib,CLK4,1,0.014
Tofacitinib,CAMK2B,1,0.014
Tofacitinib,CDK5,8,0.114
Tofacitinib,RPS6KB1,5,0.071
Tofacitinib,TBK1,2,0.029
Tofacitinib,SYK,2,0.029
Torin,CAMK2A,3,0.059
Torin,DYRK3,1,0.020
Torin,PRKCA,11,0.216
Torin,EGFR,1,0.020
Torin,WNK1,1,0.020
Torin,CSNK1G2,1,0.020
Torin,VRK3,1,0.020
Torin,BCR,1,0.020
Torin,CAMK2B,1,0.020
Torin,NEK9,1,0.020
Torin,ATR,2,0.039
Torin,WNK2,1,0.020
Torin,MAP2K2,3,0.059
Torin,PAK2,4,0.078
Torin,PRKCB,7,0.137
Torin,MTOR,17,0.333
Torin,PRKCG,6,0.118
Torin,CSNK1E,1,0.020
Torin,PRKCE,6,0.118
Torin,ATM,5,0.098
Torin,CSK,1,0.020
Torin,TTBK2,1,0.020
Torin,VRK2,1,0.020
Torin,TTBK1,1,0.020
Trametinib,RPS6KA6,4,0.077
Trametinib,IRAK4,1,0.019
Trametinib,EGFR,1,0.019
Trametinib,GSK3B,6,0.115
Trametinib,PRKX,6,0.115
Trametinib,RPS6KA4,8,0.154
Trametinib,RSKR,4,0.077
Trametinib,RPS6KA2,8,0.154
Trametinib,CSNK1E,1,0.019
Trametinib,RPS6KA5,8,0.154
Trametinib,CSK,1,0.019
Trametinib,MAPK1,26,0.500
Trametinib,CAMK2B,1,0.019
Trametinib,PRKY,6,0.115
Trametinib,MAP2K1,23,0.442
Trametinib,RPS6KB1,7,0.135
Trametinib,AURKC,1,0.019
Trametinib,AKT2,7,0.135
Ulixertinib,CSNK1G2,1,0.014
Ulixertinib,PDK2,3,0.041
Ulixertinib,VRK3,1,0.014
Ulixertinib,CDK20,8,0.108
Ulixertinib,BCR,1,0.014
Ulixertinib,PHKG2,1,0.014
Ulixertinib,LRRK2,3,0.041
Ulixertinib,RET,2,0.027
Ulixertinib,CDK8,8,0.108
Ulixertinib,SGK2,2,0.027
Ulixertinib,CAMK2B,2,0.027
Ulixertinib,MAP2K7,1,0.014
Ulixertinib,MAP2K1,4,0.054
Ulixertinib,CDK17,8,0.108
Ulixertinib,CDK6,10,0.135
Ulixertinib,CDK10,8,0.108
Ulixertinib,TBK1,3,0.041
Ulixertinib,JAK2,2,0.027
Ulixertinib,MAP2K2,4,0.054
Ulixertinib,CDK13,8,0.108
Ulixertinib,PRKCB,6,0.081
Ulixertinib,CSNK2A2,14,0.189
Ulixertinib,PRKCG,3,0.041
Ulixertinib,SGK1,3,0.041
Ulixertinib,CSNK2A1,25,0.338
Ulixertinib,PRKCE,6,0.081
Ulixertinib,CDK18,8,0.108
Ulixertinib,TGFBR1,1,0.014
Ulixertinib,CDK16,8,0.108
Ulixertinib,PRKD2,1,0.014
Ulixertinib,CDK19,8,0.108
Ulixertinib,ATM,3,0.041
Ulixertinib,VRK1,1,0.014
Ulixertinib,PHKG1,1,0.014
Ulixertinib,TTBK2,1,0.014
Ulixertinib,CDK3,8,0.108
Ulixertinib,VRK2,1,0.014
Ulixertinib,TTBK1,1,0.014
Vemurafenib,ILK,1,0.015
Vemurafenib,CDC7,2,0.029
Vemurafenib,MAPK13,2,0.029
Vemurafenib,MAPKAPK2,4,0.059
Vemurafenib,CAMK4,1,0.015
Vemurafenib,LRRK2,2,0.029
Vemurafenib,PHKG2,1,0.015
Vemurafenib,BRSK1,1,0.015
Vemurafenib,MAPK14,3,0.044
Vemurafenib,AKT3,5,0.074
Vemurafenib,PIM2,1,0.015
Vemurafenib,MAPK12,1,0.015
Vemurafenib,PIM3,1,0.015
Vemurafenib,PRKDC,2,0.029
Vemurafenib,AURKB,7,0.103
Vemurafenib,PLK3,3,0.044
Vemurafenib,CDK1,31,0.456
Vemurafenib,PIM1,1,0.015
Vemurafenib,CHEK2,2,0.029
Vemurafenib,MAPK11,2,0.029
Vemurafenib,ATM,4,0.059
Vemurafenib,PBK,2,0.029
Vemurafenib,PHKG1,1,0.015
